day,opened,opened_external,opened_owner,opened_contributor,unique_external_authors,closed_completed,closed_not_planned,closed_duplicate,closed_reopened
2026-02-11,6,5,0,1,5,2,0,0,0
2026-02-12,6,6,0,0,5,1,0,0,0
2026-02-13,3,3,0,0,3,0,0,0,0
2026-02-14,4,3,0,1,3,1,2,0,0
2026-02-15,9,6,0,3,6,1,1,0,0
2026-02-16,7,5,0,2,5,9,0,0,0
2026-02-17,7,7,0,0,6,0,0,0,0
2026-02-18,12,11,0,1,10,3,0,0,0
2026-02-19,7,5,0,2,5,2,0,0,0
2026-02-20,6,6,0,0,4,0,3,0,0
2026-02-21,1,1,0,0,1,0,0,0,0
2026-02-22,6,6,0,0,5,0,0,0,0
2026-02-23,4,4,0,0,4,1,0,0,0
2026-02-24,6,6,0,0,6,87,4,0,0
2026-02-25,8,8,0,0,8,4,1,0,0
2026-02-26,11,11,0,0,9,2,0,0,0
2026-02-27,5,5,0,0,5,0,0,0,0
2026-02-28,2,2,0,0,2,0,0,0,0
2026-03-01,1,1,0,0,1,0,0,0,0
2026-03-02,7,7,0,0,7,2,0,0,0
2026-03-03,4,4,0,0,3,2,0,0,0
2026-03-05,4,3,0,1,3,0,0,0,0
2026-03-06,2,2,0,0,2,1,0,0,0
2026-03-07,2,1,0,1,1,0,0,0,0
2026-03-08,3,3,0,0,3,0,1,0,0
2026-03-09,8,3,0,5,3,0,0,0,0
2026-03-10,2,2,0,0,2,0,0,0,0
2026-03-11,4,3,0,1,3,1,0,0,0
2026-03-12,4,3,0,1,3,0,0,0,0
2026-03-13,4,4,0,0,3,16,0,0,0
2026-03-14,4,3,0,1,3,0,0,0,0
2026-03-15,3,3,0,0,3,0,0,0,0
2026-03-16,5,5,0,0,5,7,0,0,0
2026-03-17,3,3,0,0,3,3,0,0,0
2026-03-18,8,7,0,1,6,0,0,1,0
2026-03-19,2,2,0,0,2,2,0,0,0
2026-03-20,7,6,0,1,6,1,0,0,0
2026-03-21,14,14,0,0,11,3,0,0,0
2026-03-22,8,8,0,0,7,0,1,0,0
2026-03-23,7,7,0,0,7,0,0,0,0
2026-03-24,6,5,0,1,4,1,0,0,0
2026-03-25,11,10,0,1,9,0,0,0,0
2026-03-26,5,5,0,0,5,0,0,0,0
2026-03-27,4,3,0,1,3,1,0,0,0
2026-03-28,6,6,0,0,6,0,0,0,0
2026-03-29,3,2,0,1,2,34,0,0,0
2026-03-30,9,7,0,2,5,0,0,0,0
2026-03-31,3,2,0,1,2,0,0,0,0
2026-04-01,6,6,0,0,5,0,0,0,0
2026-04-02,3,1,0,2,1,1,0,0,0
2026-04-03,3,3,0,0,3,0,0,0,0
2026-04-04,5,5,0,0,5,1,0,0,0
2026-04-05,5,3,0,2,3,1,0,0,0
2026-04-06,6,4,0,2,4,0,0,0,0
2026-04-07,10,9,0,1,8,16,0,0,0
2026-04-08,6,4,0,2,4,5,0,1,0
2026-04-09,5,5,0,0,5,0,0,0,0
2026-04-10,5,5,0,0,5,0,40,0,0
2026-04-11,17,16,0,1,12,1,0,0,0
2026-04-12,12,12,0,0,12,3,0,0,0
2026-04-13,15,13,0,2,12,2,1,0,0
2026-04-14,21,19,0,2,12,3,0,0,0
2026-04-15,164,27,137,0,22,174,1,0,0
2026-04-16,2,0,0,2,0,1,0,0,0
2026-04-17,2,0,1,1,0,0,0,0,0
2026-04-19,1,0,1,0,0,1,0,0,0
2026-04-20,0,0,0,0,0,25,0,0,0
2026-04-22,3,2,1,0,2,1,0,0,0
2026-04-23,22,22,0,0,17,0,1,0,0
